Unnamed: 0,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,clean_course_title,Year,Month,Day,Profit,course_title_len
86,796450,How to Create Your Personal Budget,https://www.udemy.com/personal-budget/,,20.0,3870,53,10,All Levels,1 hour,2016-03-21,Business Finance,Create Personal Budget,2016,3,21,77400.0,34
87,502772,The Complete Value Investing Course: A Proven Approach,https://www.udemy.com/value-investing-essential-guide-to-picking-stocks/,,200.0,2146,212,49,All Levels,4.5 hours,2015-06-16,Business Finance,Complete Value Investing Course Proven Approach,2015,6,16,429200.0,54
88,1102462,FOREX Trading with Price Action,https://www.udemy.com/forex-trading-system/,,195.0,484,57,19,Beginner Level,1 hour,2017-03-14,Business Finance,FOREX Trading Price Action,2017,3,14,94380.0,31
89,1062092,Emini ES Futures - Advanced Non Directional Options Trading,https://www.udemy.com/emini-es-futures-advanced-non-directional-options-trading/,,200.0,1057,15,14,All Levels,1.5 hours,2017-01-11,Business Finance,Emini ES Futures  Advanced Non Directional Options Trading,2017,1,11,211400.0,59
90,891484,Forex Trading - Advanced Fundamental Analysis,https://www.udemy.com/forex-trading-advanced-fundamental-analysis/,,20.0,1754,100,49,Intermediate Level,2.5 hours,2016-06-30,Business Finance,Forex Trading  Advanced Fundamental Analysis,2016,6,30,35080.0,45
91,1217064,How To Invest With Tiny Capital In Stocks ?,https://www.udemy.com/howtoinvest5k/,,20.0,1239,5,6,Beginner Level,42 mins,2017-05-23,Business Finance,Invest Tiny Capital Stocks ,2017,5,23,24780.0,43
92,382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,https://www.udemy.com/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,,95.0,2493,276,108,All Levels,9.5 hours,2015-01-31,Business Finance,Learn Successfully Trade Stocks 5 Simple Steps,2015,1,31,236835.0,57
93,1259560,Test your knowledge in Basics of Accounting,https://www.udemy.com/test-your-knowledge-in-basics-of-accounting/,,30.0,1000,11,0,Beginner Level,218 questions,2017-06-20,Business Finance,Test knowledge Basics Accounting,2017,6,20,30000.0,43
94,308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,https://www.udemy.com/metatrader4/,,150.0,2602,402,57,Beginner Level,5 hours,2015-10-28,Business Finance,Forex MetaTrader 4 Master MT4 Like Pro Forex Trader,2015,10,28,390300.0,54
95,1270254,Test your Knowledge in Cost Accounting,https://www.udemy.com/test-your-knowledge-in-cost-accounting/,,30.0,999,3,0,All Levels,18 questions,2017-06-27,Business Finance,Test Knowledge Cost Accounting,2017,6,27,29970.0,38
96,474928,Intermediate Options trading concepts for Stocks and Options,https://www.udemy.com/intermediate-options-trading-concepts-for-stocks-and-options-traders/,,40.0,2000,30,9,All Levels,1 hour,2015-04-13,Business Finance,Intermediate Options trading concepts Stocks Options,2015,4,13,80000.0,60
97,1148774,Options Trading 101: The Basics,https://www.udemy.com/options-trading-101-the-basics/,,0.0,1514,66,11,Beginner Level,33 mins,2017-03-23,Business Finance,Options Trading 101 Basics,2017,3,23,0.0,31
98,959144,Practical Accounts APP Overview,https://www.udemy.com/practical-accounts-app-overview/,,20.0,1361,1,14,Intermediate Level,3 hours,2016-10-04,Business Finance,Practical Accounts APP Overview,2016,10,4,27220.0,31
99,1233350,Bitcoin Profits for Beginners,https://www.udemy.com/bitcoin-profits-for-beginners/,,100.0,61,18,30,Beginner Level,1.5 hours,2017-06-09,Business Finance,Bitcoin Profits Beginners,2017,6,9,6100.0,29
100,572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,https://www.udemy.com/how-to-find-and-trade-profitable-fast-moving-trends/,,75.0,1513,31,60,All Levels,5.5 hours,2015-08-04,Business Finance,Trend Traders Club Find Trade Fast Moving Trends,2015,8,4,113475.0,60
101,724062,Financial Statements Basics,https://www.udemy.com/financial-statements-basics/,,20.0,1374,19,9,Beginner Level,2 hours,2016-01-14,Business Finance,Financial Statements Basics,2016,1,14,27480.0,27
102,474212,High performance Stock Trading using key Options techniques,https://www.udemy.com/high-performance-stock-trading-using-options-trading-techniques/,,40.0,2103,15,6,All Levels,1.5 hours,2015-04-12,Business Finance,High performance Stock Trading key Options techniques,2015,4,12,84120.0,59
103,771276,Introduction to Financial Statement Analysis,https://www.udemy.com/introduction-to-financial-statement-analysis/,,20.0,1480,25,25,Beginner Level,1.5 hours,2016-03-21,Business Finance,Introduction Financial Statement Analysis,2016,3,21,29600.0,44
104,388164,Basics of Economics (College Level),https://www.udemy.com/economics-for-accounting-and-finance-professionals/,,25.0,2516,12,20,All Levels,1.5 hours,2015-01-08,Business Finance,Basics Economics College Level,2015,1,8,62900.0,35
105,133536,Stock Market Investing for Beginners,https://www.udemy.com/the-beginners-guide-to-the-stock-market/,,0.0,50855,2698,15,Beginner Level,1.5 hours,2013-12-25,Business Finance,Stock Market Investing Beginners,2013,12,25,0.0,36
106,655300,Accounting for Beginners : Learn Basics in under 1 Hour,https://www.udemy.com/accounting-for-beginners-how-to-do-accounting-super-easily/,,50.0,1971,13,20,Beginner Level,1.5 hours,2015-12-03,Business Finance,Accounting Beginners  Learn Basics 1 Hour,2015,12,3,98550.0,55
107,949504,Straddle Options Trading - Profit in Any Market Direction,https://www.udemy.com/straddle-options-trading-profit-in-any-market-direction/,,200.0,837,9,19,All Levels,1 hour,2016-10-03,Business Finance,Straddle Options Trading  Profit Market Direction,2016,10,3,167400.0,57
